"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 32, 2, 30, 0.261514, 1.67987e-06, 
3, 3, 16, 2, 30, 0.260965, 1.84109e-06, 
3, 3, 8, 2, 30, 0.262307, 1.83552e-05, 
3, 3, 4, 2, 30, 0.260901, 8.52814e-05, 
3, 3, 2, 2, 30, 0.29398, 3.36719e-08, 
3, 3, 1, 2, 30, 0.539733, 3.27135e-07, 
7, 7, 32, 2, 20, 1.10826, 1.85395e-06, 
7, 7, 16, 2, 20, 1.10385, 2.99981e-06, 
7, 7, 8, 2, 20, 1.10857, 0.000109027, 
7, 7, 4, 2, 20, 1.09907, 3.60811e-06, 
7, 7, 2, 2, 20, 1.23979, 1.04328e-08, 
7, 7, 1, 2, 20, 2.27067, 0.000176341, 
11, 11, 32, 1, 15, 1.22482, 1.17156e-06, 
11, 11, 16, 1, 15, 1.21884, 3.15093e-06, 
11, 11, 8, 1, 15, 1.22001, 0.000217191, 
11, 11, 4, 1, 15, 1.2221, 1.56365e-06, 
11, 11, 2, 1, 15, 1.27204, 2.58489e-07, 
11, 11, 1, 1, 15, 2.3191, 1.19886e-05, 
19, 19, 32, 1, 7, 3.54663, 4.40089e-06, 
19, 19, 16, 1, 7, 3.53241, 0.000233575, 
19, 19, 8, 1, 7, 3.51064, 0.000317758, 
19, 19, 4, 1, 7, 3.52438, 2.4265e-07, 
19, 19, 2, 1, 7, 3.68285, 3.24631e-06, 
19, 19, 1, 1, 7, 6.75537, 0.000251701, 
