"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 1, 5, 50, 0.431563, 1.53824e-05, 
3, 3, 2, 5, 50, 0.252533, 9.71348e-08, 
3, 3, 4, 5, 50, 0.204804, 1.0889e-08, 
3, 3, 8, 5, 50, 0.207621, 8.68831e-06, 
3, 3, 16, 5, 50, 0.206524, 3.0651e-06, 
3, 3, 32, 5, 50, 0.202112, 7.22307e-07, 
7, 7, 1, 5, 50, 1.57364, 5.47595e-05, 
7, 7, 2, 5, 50, 0.872231, 7.48137e-05, 
7, 7, 4, 5, 50, 0.696837, 4.72868e-07, 
7, 7, 8, 5, 50, 0.704782, 3.13764e-05, 
7, 7, 16, 5, 50, 0.701711, 8.63896e-06, 
7, 7, 32, 5, 50, 0.698929, 6.94299e-06, 
11, 11, 1, 5, 50, 3.99018, 0.000199037, 
11, 11, 2, 5, 50, 2.17728, 4.54061e-07, 
11, 11, 4, 5, 50, 1.63731, 9.40762e-07, 
11, 11, 8, 5, 50, 1.66149, 0.00025965, 
11, 11, 16, 5, 50, 1.70156, 0.0445083, 
11, 11, 32, 5, 50, 1.66087, 0.0164542, 
19, 19, 1, 5, 50, 11.604, 0.000261635, 
19, 19, 2, 5, 50, 6.39165, 0.0120739, 
19, 19, 4, 5, 50, 4.58058, 0.037181, 
19, 19, 8, 5, 50, 4.55746, 0.00550512, 
19, 19, 16, 5, 50, 4.47992, 0.00183518, 
19, 19, 32, 5, 50, 4.57478, 0.149695, 
